Question	Answer	Source	Metadata
What color is a Slaking?	Usually, Slaking is brown.	https://pokeapi.co/api/v2/pokemon/290	{}
Tell me about Slaking.	Wherever Slaking live, rings of over a yard in diameter appear
in grassy fields. They are made by the Pokémon as it eats all
the grass within reach while lying prone on the ground.	https://pokeapi.co/api/v2/pokemon/290	{}
What type of Pokémon is Nincada?	Nincada is a ground/bug Pokémon.	https://pokeapi.co/api/v2/pokemon/291	{}
How tall is Nincada?	Nincada is 0.5 meters tall.	https://pokeapi.co/api/v2/pokemon/291	{}
Where can I find a Nincada?	Nincada is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/291	{}
How much does Nincada weigh?	The average Nincada is about 5.5 kilograms.	https://pokeapi.co/api/v2/pokemon/291	{}
What color is a Nincada?	Usually, Nincada is gray.	https://pokeapi.co/api/v2/pokemon/291	{}
Tell me about Nincada.	Nincada lives underground. It uses its sharp claws to carve the
roots of trees and absorb moisture and nutrients.
This Pokémon can’t withstand bright sunlight so avoids it.	https://pokeapi.co/api/v2/pokemon/291	{}
What type of Pokémon is Ninjask?	Ninjask is a flying/bug Pokémon.	https://pokeapi.co/api/v2/pokemon/292	{}
How tall is Ninjask?	Ninjask is 0.8 meters tall.	https://pokeapi.co/api/v2/pokemon/292	{}
Where can I find a Ninjask?	Ninjask is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/292	{}
How much does Ninjask weigh?	The average Ninjask is about 12 kilograms.	https://pokeapi.co/api/v2/pokemon/292	{}
What color is a Ninjask?	Usually, Ninjask is yellow.	https://pokeapi.co/api/v2/pokemon/292	{}
Tell me about Ninjask.	If Ninjask is not trained properly, it will refuse to obey
the Trainer and cry loudly continuously. Because of this
quality, this Pokémon is said to be one that puts the
Trainer’s abilities to the test.	https://pokeapi.co/api/v2/pokemon/292	{}
What type of Pokémon is Shedinja?	Shedinja is a ghost/bug Pokémon.	https://pokeapi.co/api/v2/pokemon/293	{}
How tall is Shedinja?	Shedinja is 0.8 meters tall.	https://pokeapi.co/api/v2/pokemon/293	{}
Where can I find a Shedinja?	Shedinja is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/293	{}
How much does Shedinja weigh?	The average Shedinja is about 1.2 kilograms.	https://pokeapi.co/api/v2/pokemon/293	{}
What color is a Shedinja?	Usually, Shedinja is brown.	https://pokeapi.co/api/v2/pokemon/293	{}
Tell me about Shedinja.	Shedinja is a peculiar Pokémon. It seems to appear unsought
in a Poké Ball after a Nincada evolves. This bizarre Pokémon
is entirely immobile—it doesn’t even breathe.	https://pokeapi.co/api/v2/pokemon/293	{}
What type of Pokémon is Whismur?	Whismur is a normal Pokémon.	https://pokeapi.co/api/v2/pokemon/294	{}
How tall is Whismur?	Whismur is 0.6 meters tall.	https://pokeapi.co/api/v2/pokemon/294	{}
Where can I find a Whismur?	Whismur is commonly found in the cave.	https://pokeapi.co/api/v2/pokemon/294	{}
How much does Whismur weigh?	The average Whismur is about 16.3 kilograms.	https://pokeapi.co/api/v2/pokemon/294	{}
What color is a Whismur?	Usually, Whismur is pink.	https://pokeapi.co/api/v2/pokemon/294	{}
Tell me about Whismur.	Whismur is very timid. If it starts to cry loudly, it becomes
startled by its own crying and cries even harder. When it finally
stops crying, the Pokémon goes to sleep, all tired out.	https://pokeapi.co/api/v2/pokemon/294	{}
What type of Pokémon is Loudred?	Loudred is a normal Pokémon.	https://pokeapi.co/api/v2/pokemon/295	{}
How tall is Loudred?	Loudred is 1 meters tall.	https://pokeapi.co/api/v2/pokemon/295	{}
Where can I find a Loudred?	Loudred is commonly found in the cave.	https://pokeapi.co/api/v2/pokemon/295	{}
How much does Loudred weigh?	The average Loudred is about 40.5 kilograms.	https://pokeapi.co/api/v2/pokemon/295	{}
What color is a Loudred?	Usually, Loudred is blue.	https://pokeapi.co/api/v2/pokemon/295	{}
Tell me about Loudred.	Loudred shouts while stamping its feet. After it finishes
shouting, this Pokémon becomes incapable of hearing
anything for a while. This is considered to be a weak point.	https://pokeapi.co/api/v2/pokemon/295	{}
What type of Pokémon is Exploud?	Exploud is a normal Pokémon.	https://pokeapi.co/api/v2/pokemon/296	{}
How tall is Exploud?	Exploud is 1.5 meters tall.	https://pokeapi.co/api/v2/pokemon/296	{}
Where can I find a Exploud?	Exploud is commonly found in the cave.	https://pokeapi.co/api/v2/pokemon/296	{}
How much does Exploud weigh?	The average Exploud is about 84 kilograms.	https://pokeapi.co/api/v2/pokemon/296	{}
What color is a Exploud?	Usually, Exploud is blue.	https://pokeapi.co/api/v2/pokemon/296	{}
Tell me about Exploud.	Exploud communicates its feelings to the others by emitting
whistle-like sounds from the tubes on its body. This Pokémon
only raises its voice when it is in battle.	https://pokeapi.co/api/v2/pokemon/296	{}
What type of Pokémon is Makuhita?	Makuhita is a fighting Pokémon.	https://pokeapi.co/api/v2/pokemon/297	{}
How tall is Makuhita?	Makuhita is 1 meters tall.	https://pokeapi.co/api/v2/pokemon/297	{}
Where can I find a Makuhita?	Makuhita is commonly found in the mountain.	https://pokeapi.co/api/v2/pokemon/297	{}
How much does Makuhita weigh?	The average Makuhita is about 86.4 kilograms.	https://pokeapi.co/api/v2/pokemon/297	{}
What color is a Makuhita?	Usually, Makuhita is yellow.	https://pokeapi.co/api/v2/pokemon/297	{}
Tell me about Makuhita.	It practices its slaps by repeatedly slapping
tree trunks. It has been known to slap an
Exeggutor and get flung away.	https://pokeapi.co/api/v2/pokemon/297	{}
What type of Pokémon is Hariyama?	Hariyama is a fighting Pokémon.	https://pokeapi.co/api/v2/pokemon/298	{}
How tall is Hariyama?	Hariyama is 2.3 meters tall.	https://pokeapi.co/api/v2/pokemon/298	{}
Where can I find a Hariyama?	Hariyama is commonly found in the mountain.	https://pokeapi.co/api/v2/pokemon/298	{}
How much does Hariyama weigh?	The average Hariyama is about 253.8 kilograms.	https://pokeapi.co/api/v2/pokemon/298	{}
What color is a Hariyama?	Usually, Hariyama is brown.	https://pokeapi.co/api/v2/pokemon/298	{}
Tell me about Hariyama.	Although they enjoy comparing their strength,
they’re also kind. They value etiquette, praising
opponents they battle.	https://pokeapi.co/api/v2/pokemon/298	{}
What type of Pokémon is Azurill?	Azurill is a fairy/normal Pokémon.	https://pokeapi.co/api/v2/pokemon/299	{}
How tall is Azurill?	Azurill is 0.2 meters tall.	https://pokeapi.co/api/v2/pokemon/299	{}
Where can I find a Azurill?	Azurill is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/299	{}
How much does Azurill weigh?	The average Azurill is about 2 kilograms.	https://pokeapi.co/api/v2/pokemon/299	{}
What color is a Azurill?	Usually, Azurill is blue.	https://pokeapi.co/api/v2/pokemon/299	{}
Tell me about Azurill.	Azurill’s tail is large and bouncy. It is packed full of the
nutrients this Pokémon needs to grow. Azurill can be seen
bouncing and playing on its big, rubbery tail.	https://pokeapi.co/api/v2/pokemon/299	{}
What type of Pokémon is Nosepass?	Nosepass is a rock Pokémon.	https://pokeapi.co/api/v2/pokemon/300	{}
How tall is Nosepass?	Nosepass is 1 meters tall.	https://pokeapi.co/api/v2/pokemon/300	{}
Where can I find a Nosepass?	Nosepass is commonly found in the cave.	https://pokeapi.co/api/v2/pokemon/300	{}
How much does Nosepass weigh?	The average Nosepass is about 97 kilograms.	https://pokeapi.co/api/v2/pokemon/300	{}
What color is a Nosepass?	Usually, Nosepass is gray.	https://pokeapi.co/api/v2/pokemon/300	{}
Tell me about Nosepass.	It moves less than an inch a year, but when
it’s in a jam, it will spin and drill down into the
ground in a split second.	https://pokeapi.co/api/v2/pokemon/300	{}
What type of Pokémon is Skitty?	Skitty is a normal Pokémon.	https://pokeapi.co/api/v2/pokemon/301	{}
How tall is Skitty?	Skitty is 0.6 meters tall.	https://pokeapi.co/api/v2/pokemon/301	{}
Where can I find a Skitty?	Skitty is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/301	{}
How much does Skitty weigh?	The average Skitty is about 11 kilograms.	https://pokeapi.co/api/v2/pokemon/301	{}
What color is a Skitty?	Usually, Skitty is pink.	https://pokeapi.co/api/v2/pokemon/301	{}
Tell me about Skitty.	Skitty is known to chase around playfully after its own tail.
In the wild, this Pokémon lives in holes in the trees of forests.
It is very popular as a pet because of its adorable looks.	https://pokeapi.co/api/v2/pokemon/301	{}
What type of Pokémon is Delcatty?	Delcatty is a normal Pokémon.	https://pokeapi.co/api/v2/pokemon/302	{}
How tall is Delcatty?	Delcatty is 1.1 meters tall.	https://pokeapi.co/api/v2/pokemon/302	{}
Where can I find a Delcatty?	Delcatty is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/302	{}
How much does Delcatty weigh?	The average Delcatty is about 32.6 kilograms.	https://pokeapi.co/api/v2/pokemon/302	{}
What color is a Delcatty?	Usually, Delcatty is purple.	https://pokeapi.co/api/v2/pokemon/302	{}
Tell me about Delcatty.	Delcatty sleeps anywhere it wants without keeping a permanent
nest. If other Pokémon approach it as it sleeps, this Pokémon
will never fight—it will just move away somewhere else.	https://pokeapi.co/api/v2/pokemon/302	{}
What type of Pokémon is Sableye?	Sableye is a ghost/dark Pokémon.	https://pokeapi.co/api/v2/pokemon/303	{}
How tall is Sableye?	Sableye is 0.5 meters tall.	https://pokeapi.co/api/v2/pokemon/303	{}
Where can I find a Sableye?	Sableye is commonly found in the cave.	https://pokeapi.co/api/v2/pokemon/303	{}
How much does Sableye weigh?	The average Sableye is about 11 kilograms.	https://pokeapi.co/api/v2/pokemon/303	{}
What color is a Sableye?	Usually, Sableye is purple.	https://pokeapi.co/api/v2/pokemon/303	{}
Tell me about Sableye.	It digs through the ground with its hard claws
and crunches down gems with its thick pointy
teeth. Carbink is its favorite food.	https://pokeapi.co/api/v2/pokemon/303	{}
What type of Pokémon is Mawile?	Mawile is a fairy/steel Pokémon.	https://pokeapi.co/api/v2/pokemon/304	{}
How tall is Mawile?	Mawile is 0.6 meters tall.	https://pokeapi.co/api/v2/pokemon/304	{}
Where can I find a Mawile?	Mawile is commonly found in the cave.	https://pokeapi.co/api/v2/pokemon/304	{}
How much does Mawile weigh?	The average Mawile is about 11.5 kilograms.	https://pokeapi.co/api/v2/pokemon/304	{}
What color is a Mawile?	Usually, Mawile is black.	https://pokeapi.co/api/v2/pokemon/304	{}
Tell me about Mawile.	A cunning and terrifying Pokémon, its cuteness
makes opponents let down their guard—and
then it swallows them whole with its huge jaws.	https://pokeapi.co/api/v2/pokemon/304	{}
What type of Pokémon is Aron?	Aron is a rock/steel Pokémon.	https://pokeapi.co/api/v2/pokemon/305	{}
How tall is Aron?	Aron is 0.4 meters tall.	https://pokeapi.co/api/v2/pokemon/305	{}
Where can I find a Aron?	Aron is commonly found in the mountain.	https://pokeapi.co/api/v2/pokemon/305	{}
How much does Aron weigh?	The average Aron is about 60 kilograms.	https://pokeapi.co/api/v2/pokemon/305	{}
What color is a Aron?	Usually, Aron is gray.	https://pokeapi.co/api/v2/pokemon/305	{}
Tell me about Aron.	Aron has a body of steel. With one all-out charge, this
Pokémon can demolish even a heavy dump truck.
The destroyed dump truck then becomes a handy meal
for the Pokémon.	https://pokeapi.co/api/v2/pokemon/305	{}
What type of Pokémon is Lairon?	Lairon is a rock/steel Pokémon.	https://pokeapi.co/api/v2/pokemon/306	{}
How tall is Lairon?	Lairon is 0.9 meters tall.	https://pokeapi.co/api/v2/pokemon/306	{}
Where can I find a Lairon?	Lairon is commonly found in the mountain.	https://pokeapi.co/api/v2/pokemon/306	{}
How much does Lairon weigh?	The average Lairon is about 120 kilograms.	https://pokeapi.co/api/v2/pokemon/306	{}
What color is a Lairon?	Usually, Lairon is gray.	https://pokeapi.co/api/v2/pokemon/306	{}
Tell me about Lairon.	Lairon feeds on iron contained in rocks and water. It makes
its nest on mountains where iron ore is buried. As a result,
the Pokémon often clashes with humans mining the iron ore.	https://pokeapi.co/api/v2/pokemon/306	{}
What type of Pokémon is Aggron?	Aggron is a rock/steel Pokémon.	https://pokeapi.co/api/v2/pokemon/307	{}
How tall is Aggron?	Aggron is 2.1 meters tall.	https://pokeapi.co/api/v2/pokemon/307	{}
Where can I find a Aggron?	Aggron is commonly found in the mountain.	https://pokeapi.co/api/v2/pokemon/307	{}
How much does Aggron weigh?	The average Aggron is about 360 kilograms.	https://pokeapi.co/api/v2/pokemon/307	{}
What color is a Aggron?	Usually, Aggron is gray.	https://pokeapi.co/api/v2/pokemon/307	{}
Tell me about Aggron.	Aggron is protective of its environment. If its mountain is
ravaged by a landslide or a fire, this Pokémon will haul
topsoil to the area, plant trees, and beautifully restore its
own territory.	https://pokeapi.co/api/v2/pokemon/307	{}
What type of Pokémon is Meditite?	Meditite is a psychic/fighting Pokémon.	https://pokeapi.co/api/v2/pokemon/308	{}
How tall is Meditite?	Meditite is 0.6 meters tall.	https://pokeapi.co/api/v2/pokemon/308	{}
Where can I find a Meditite?	Meditite is commonly found in the mountain.	https://pokeapi.co/api/v2/pokemon/308	{}
How much does Meditite weigh?	The average Meditite is about 11.2 kilograms.	https://pokeapi.co/api/v2/pokemon/308	{}
What color is a Meditite?	Usually, Meditite is blue.	https://pokeapi.co/api/v2/pokemon/308	{}
Tell me about Meditite.	Meditite heightens its inner energy through meditation.
It survives on just one berry a day. Minimal eating is another
aspect of this Pokémon’s training.	https://pokeapi.co/api/v2/pokemon/308	{}
What type of Pokémon is Medicham?	Medicham is a psychic/fighting Pokémon.	https://pokeapi.co/api/v2/pokemon/309	{}
How tall is Medicham?	Medicham is 1.3 meters tall.	https://pokeapi.co/api/v2/pokemon/309	{}
Where can I find a Medicham?	Medicham is commonly found in the mountain.	https://pokeapi.co/api/v2/pokemon/309	{}
How much does Medicham weigh?	The average Medicham is about 31.5 kilograms.	https://pokeapi.co/api/v2/pokemon/309	{}
What color is a Medicham?	Usually, Medicham is red.	https://pokeapi.co/api/v2/pokemon/309	{}
Tell me about Medicham.	Through the power of meditation, Medicham developed its
sixth sense. It gained the ability to use psychokinetic powers.
This Pokémon is known to meditate for a whole month
without eating.	https://pokeapi.co/api/v2/pokemon/309	{}
What type of Pokémon is Electrike?	Electrike is a electric Pokémon.	https://pokeapi.co/api/v2/pokemon/310	{}
How tall is Electrike?	Electrike is 0.6 meters tall.	https://pokeapi.co/api/v2/pokemon/310	{}
Where can I find a Electrike?	Electrike is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/310	{}
How much does Electrike weigh?	The average Electrike is about 15.2 kilograms.	https://pokeapi.co/api/v2/pokemon/310	{}
What color is a Electrike?	Usually, Electrike is green.	https://pokeapi.co/api/v2/pokemon/310	{}
Tell me about Electrike.	Friction between the air and its fur produces
static electricity. When Electrike runs, it makes
a crackling sound.	https://pokeapi.co/api/v2/pokemon/310	{}
What type of Pokémon is Manectric?	Manectric is a electric Pokémon.	https://pokeapi.co/api/v2/pokemon/311	{}
How tall is Manectric?	Manectric is 1.5 meters tall.	https://pokeapi.co/api/v2/pokemon/311	{}
Where can I find a Manectric?	Manectric is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/311	{}
How much does Manectric weigh?	The average Manectric is about 40.2 kilograms.	https://pokeapi.co/api/v2/pokemon/311	{}
What color is a Manectric?	Usually, Manectric is yellow.	https://pokeapi.co/api/v2/pokemon/311	{}
Tell me about Manectric.	Manectric can be found beneath unnatural
thunderclouds. People say it can run at the
same speed as lightning striking.	https://pokeapi.co/api/v2/pokemon/311	{}
What type of Pokémon is Plusle?	Plusle is a electric Pokémon.	https://pokeapi.co/api/v2/pokemon/312	{}
How tall is Plusle?	Plusle is 0.4 meters tall.	https://pokeapi.co/api/v2/pokemon/312	{}
Where can I find a Plusle?	Plusle is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/312	{}
How much does Plusle weigh?	The average Plusle is about 4.2 kilograms.	https://pokeapi.co/api/v2/pokemon/312	{}
What color is a Plusle?	Usually, Plusle is yellow.	https://pokeapi.co/api/v2/pokemon/312	{}
Tell me about Plusle.	When Plusle is cheering on its partner, it flashes with electric
sparks from all over its body. If its partner loses, this Pokémon
cries loudly.	https://pokeapi.co/api/v2/pokemon/312	{}
What type of Pokémon is Minun?	Minun is a electric Pokémon.	https://pokeapi.co/api/v2/pokemon/313	{}
How tall is Minun?	Minun is 0.4 meters tall.	https://pokeapi.co/api/v2/pokemon/313	{}
Where can I find a Minun?	Minun is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/313	{}
How much does Minun weigh?	The average Minun is about 4.2 kilograms.	https://pokeapi.co/api/v2/pokemon/313	{}
What color is a Minun?	Usually, Minun is yellow.	https://pokeapi.co/api/v2/pokemon/313	{}
Tell me about Minun.	Minun loves to cheer on its partner in battle. It gives off sparks
from its body while it is doing so. If its partner is in trouble,
this Pokémon gives off increasing amounts of sparks.	https://pokeapi.co/api/v2/pokemon/313	{}
What type of Pokémon is Volbeat?	Volbeat is a bug Pokémon.	https://pokeapi.co/api/v2/pokemon/314	{}
How tall is Volbeat?	Volbeat is 0.7 meters tall.	https://pokeapi.co/api/v2/pokemon/314	{}
Where can I find a Volbeat?	Volbeat is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/314	{}
How much does Volbeat weigh?	The average Volbeat is about 17.7 kilograms.	https://pokeapi.co/api/v2/pokemon/314	{}
What color is a Volbeat?	Usually, Volbeat is gray.	https://pokeapi.co/api/v2/pokemon/314	{}
Tell me about Volbeat.	Volbeat’s tail glows like a lightbulb. With other Volbeat,
it uses its tail to draw geometric shapes in the night sky.
This Pokémon loves the sweet aroma given off by Illumise.	https://pokeapi.co/api/v2/pokemon/314	{}
What type of Pokémon is Illumise?	Illumise is a bug Pokémon.	https://pokeapi.co/api/v2/pokemon/315	{}
How tall is Illumise?	Illumise is 0.6 meters tall.	https://pokeapi.co/api/v2/pokemon/315	{}
Where can I find a Illumise?	Illumise is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/315	{}
How much does Illumise weigh?	The average Illumise is about 17.7 kilograms.	https://pokeapi.co/api/v2/pokemon/315	{}
What color is a Illumise?	Usually, Illumise is purple.	https://pokeapi.co/api/v2/pokemon/315	{}
Tell me about Illumise.	Illumise leads a flight of illuminated Volbeat to draw signs in
the night sky. This Pokémon is said to earn greater respect
from its peers by composing more complex designs in the sky.	https://pokeapi.co/api/v2/pokemon/315	{}
What type of Pokémon is Roselia?	Roselia is a poison/grass Pokémon.	https://pokeapi.co/api/v2/pokemon/316	{}
How tall is Roselia?	Roselia is 0.3 meters tall.	https://pokeapi.co/api/v2/pokemon/316	{}
Where can I find a Roselia?	Roselia is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/316	{}
How much does Roselia weigh?	The average Roselia is about 2 kilograms.	https://pokeapi.co/api/v2/pokemon/316	{}
What color is a Roselia?	Usually, Roselia is green.	https://pokeapi.co/api/v2/pokemon/316	{}
Tell me about Roselia.	On extremely rare occasions, a Roselia is said to appear with
its flowers in unusual colors. The thorns on this Pokémon’s
head contain a vicious poison.	https://pokeapi.co/api/v2/pokemon/316	{}
What type of Pokémon is Gulpin?	Gulpin is a poison Pokémon.	https://pokeapi.co/api/v2/pokemon/317	{}
How tall is Gulpin?	Gulpin is 0.4 meters tall.	https://pokeapi.co/api/v2/pokemon/317	{}
Where can I find a Gulpin?	Gulpin is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/317	{}
How much does Gulpin weigh?	The average Gulpin is about 10.3 kilograms.	https://pokeapi.co/api/v2/pokemon/317	{}
What color is a Gulpin?	Usually, Gulpin is green.	https://pokeapi.co/api/v2/pokemon/317	{}
Tell me about Gulpin.	Most of Gulpin’s body is made up of its stomach—its heart and
brain are very small in comparison. This Pokémon’s stomach
contains special enzymes that dissolve anything.	https://pokeapi.co/api/v2/pokemon/317	{}
What type of Pokémon is Swalot?	Swalot is a poison Pokémon.	https://pokeapi.co/api/v2/pokemon/318	{}
How tall is Swalot?	Swalot is 1.7 meters tall.	https://pokeapi.co/api/v2/pokemon/318	{}
Where can I find a Swalot?	Swalot is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/318	{}
How much does Swalot weigh?	The average Swalot is about 80 kilograms.	https://pokeapi.co/api/v2/pokemon/318	{}
What color is a Swalot?	Usually, Swalot is purple.	https://pokeapi.co/api/v2/pokemon/318	{}
Tell me about Swalot.	Swalot has no teeth, so what it eats, it swallows whole, no
matter what. Its cavernous mouth yawns widely. An automobile
tire could easily fit inside this Pokémon’s mouth.	https://pokeapi.co/api/v2/pokemon/318	{}
What type of Pokémon is Carvanha?	Carvanha is a dark/water Pokémon.	https://pokeapi.co/api/v2/pokemon/319	{}
How tall is Carvanha?	Carvanha is 0.8 meters tall.	https://pokeapi.co/api/v2/pokemon/319	{}
Where can I find a Carvanha?	Carvanha is commonly found in the sea.	https://pokeapi.co/api/v2/pokemon/319	{}
How much does Carvanha weigh?	The average Carvanha is about 20.8 kilograms.	https://pokeapi.co/api/v2/pokemon/319	{}
What color is a Carvanha?	Usually, Carvanha is red.	https://pokeapi.co/api/v2/pokemon/319	{}
Tell me about Carvanha.	They’re such cowards that they won’t hunt
alone. When five or so of them get together,
they suddenly turn ferocious!	https://pokeapi.co/api/v2/pokemon/319	{}
What type of Pokémon is Sharpedo?	Sharpedo is a dark/water Pokémon.	https://pokeapi.co/api/v2/pokemon/320	{}
How tall is Sharpedo?	Sharpedo is 1.8 meters tall.	https://pokeapi.co/api/v2/pokemon/320	{}
Where can I find a Sharpedo?	Sharpedo is commonly found in the sea.	https://pokeapi.co/api/v2/pokemon/320	{}
How much does Sharpedo weigh?	The average Sharpedo is about 88.8 kilograms.	https://pokeapi.co/api/v2/pokemon/320	{}
What color is a Sharpedo?	Usually, Sharpedo is blue.	https://pokeapi.co/api/v2/pokemon/320	{}
Tell me about Sharpedo.	People believe that carrying one of its
discarded fangs will prevent mishaps at sea,
so the fangs are made into accessories.	https://pokeapi.co/api/v2/pokemon/320	{}
What type of Pokémon is Wailmer?	Wailmer is a water Pokémon.	https://pokeapi.co/api/v2/pokemon/321	{}
How tall is Wailmer?	Wailmer is 2 meters tall.	https://pokeapi.co/api/v2/pokemon/321	{}
Where can I find a Wailmer?	Wailmer is commonly found in the sea.	https://pokeapi.co/api/v2/pokemon/321	{}
How much does Wailmer weigh?	The average Wailmer is about 130 kilograms.	https://pokeapi.co/api/v2/pokemon/321	{}
What color is a Wailmer?	Usually, Wailmer is blue.	https://pokeapi.co/api/v2/pokemon/321	{}
Tell me about Wailmer.	It swims along with its mouth open and
swallows down seawater along with its food.
It sprays excess water out of its nostrils.	https://pokeapi.co/api/v2/pokemon/321	{}
What type of Pokémon is Wailord?	Wailord is a water Pokémon.	https://pokeapi.co/api/v2/pokemon/322	{}
How tall is Wailord?	Wailord is 14.5 meters tall.	https://pokeapi.co/api/v2/pokemon/322	{}
Where can I find a Wailord?	Wailord is commonly found in the sea.	https://pokeapi.co/api/v2/pokemon/322	{}
How much does Wailord weigh?	The average Wailord is about 398 kilograms.	https://pokeapi.co/api/v2/pokemon/322	{}
What color is a Wailord?	Usually, Wailord is blue.	https://pokeapi.co/api/v2/pokemon/322	{}
Tell me about Wailord.	They eat so many fish Pokémon that when
Wailord become too numerous, fishermen have
to chase them off.	https://pokeapi.co/api/v2/pokemon/322	{}
What type of Pokémon is Numel?	Numel is a ground/fire Pokémon.	https://pokeapi.co/api/v2/pokemon/323	{}
How tall is Numel?	Numel is 0.7 meters tall.	https://pokeapi.co/api/v2/pokemon/323	{}
Where can I find a Numel?	Numel is commonly found in the mountain.	https://pokeapi.co/api/v2/pokemon/323	{}
How much does Numel weigh?	The average Numel is about 24 kilograms.	https://pokeapi.co/api/v2/pokemon/323	{}
What color is a Numel?	Usually, Numel is yellow.	https://pokeapi.co/api/v2/pokemon/323	{}
Tell me about Numel.	Numel stores magma of almost 2,200 degrees Fahrenheit
within its body. If it gets wet, the magma cools and hardens.
In that event, the Pokémon’s body grows heavy and its
movements become sluggish.	https://pokeapi.co/api/v2/pokemon/323	{}
What type of Pokémon is Camerupt?	Camerupt is a ground/fire Pokémon.	https://pokeapi.co/api/v2/pokemon/324	{}
How tall is Camerupt?	Camerupt is 1.9 meters tall.	https://pokeapi.co/api/v2/pokemon/324	{}
Where can I find a Camerupt?	Camerupt is commonly found in the mountain.	https://pokeapi.co/api/v2/pokemon/324	{}
How much does Camerupt weigh?	The average Camerupt is about 220 kilograms.	https://pokeapi.co/api/v2/pokemon/324	{}
What color is a Camerupt?	Usually, Camerupt is red.	https://pokeapi.co/api/v2/pokemon/324	{}
Tell me about Camerupt.	The humps on Camerupt’s back are formed by a transformation
of its bones. They sometimes blast out molten magma.
This Pokémon apparently erupts often when it is enraged.	https://pokeapi.co/api/v2/pokemon/324	{}
What type of Pokémon is Torkoal?	Torkoal is a fire Pokémon.	https://pokeapi.co/api/v2/pokemon/325	{}
How tall is Torkoal?	Torkoal is 0.5 meters tall.	https://pokeapi.co/api/v2/pokemon/325	{}
Where can I find a Torkoal?	Torkoal is commonly found in the mountain.	https://pokeapi.co/api/v2/pokemon/325	{}
How much does Torkoal weigh?	The average Torkoal is about 80.4 kilograms.	https://pokeapi.co/api/v2/pokemon/325	{}
What color is a Torkoal?	Usually, Torkoal is brown.	https://pokeapi.co/api/v2/pokemon/325	{}
Tell me about Torkoal.	You can tell how it’s feeling by the smoke
spouting from its shell. Tremendous velocity
is a sign of good health.	https://pokeapi.co/api/v2/pokemon/325	{}
What type of Pokémon is Spoink?	Spoink is a psychic Pokémon.	https://pokeapi.co/api/v2/pokemon/326	{}
How tall is Spoink?	Spoink is 0.7 meters tall.	https://pokeapi.co/api/v2/pokemon/326	{}
Where can I find a Spoink?	Spoink is commonly found in the mountain.	https://pokeapi.co/api/v2/pokemon/326	{}
How much does Spoink weigh?	The average Spoink is about 30.6 kilograms.	https://pokeapi.co/api/v2/pokemon/326	{}
What color is a Spoink?	Usually, Spoink is black.	https://pokeapi.co/api/v2/pokemon/326	{}
Tell me about Spoink.	Spoink keeps a pearl on top of its head. The pearl functions to
amplify this Pokémon’s psychokinetic powers. It is therefore on
a constant search for a bigger pearl.	https://pokeapi.co/api/v2/pokemon/326	{}
What type of Pokémon is Grumpig?	Grumpig is a psychic Pokémon.	https://pokeapi.co/api/v2/pokemon/327	{}
How tall is Grumpig?	Grumpig is 0.9 meters tall.	https://pokeapi.co/api/v2/pokemon/327	{}
Where can I find a Grumpig?	Grumpig is commonly found in the mountain.	https://pokeapi.co/api/v2/pokemon/327	{}
How much does Grumpig weigh?	The average Grumpig is about 71.5 kilograms.	https://pokeapi.co/api/v2/pokemon/327	{}
What color is a Grumpig?	Usually, Grumpig is purple.	https://pokeapi.co/api/v2/pokemon/327	{}
Tell me about Grumpig.	Grumpig uses the black pearls on its body to wield
its fantastic powers. When it is doing so, it dances bizarrely.
This Pokémon’s black pearls are valuable as works of art.	https://pokeapi.co/api/v2/pokemon/327	{}
What type of Pokémon is Spinda?	Spinda is a normal Pokémon.	https://pokeapi.co/api/v2/pokemon/328	{}
How tall is Spinda?	Spinda is 1.1 meters tall.	https://pokeapi.co/api/v2/pokemon/328	{}
Where can I find a Spinda?	Spinda is commonly found in the mountain.	https://pokeapi.co/api/v2/pokemon/328	{}
How much does Spinda weigh?	The average Spinda is about 5 kilograms.	https://pokeapi.co/api/v2/pokemon/328	{}
What color is a Spinda?	Usually, Spinda is brown.	https://pokeapi.co/api/v2/pokemon/328	{}
Tell me about Spinda.	Its steps are shaky and stumbling. Walking for a
long time makes it feel sick.	https://pokeapi.co/api/v2/pokemon/328	{}
What type of Pokémon is Trapinch?	Trapinch is a ground Pokémon.	https://pokeapi.co/api/v2/pokemon/329	{}
How tall is Trapinch?	Trapinch is 0.7 meters tall.	https://pokeapi.co/api/v2/pokemon/329	{}
